C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/14/2017,19:00:00,REGULAR,6444572,2181179
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/14/2017,15:00:00,REGULAR,6443799,2181097
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/14/2017,11:00:00,REGULAR,6443563,2181005
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/14/2017,07:00:00,REGULAR,6443425,2180700
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/14/2017,03:00:00,REGULAR,6443413,2180670
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/13/2017,23:00:00,REGULAR,6443412,2180669
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/13/2017,19:00:00,REGULAR,6443122,2180640
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/13/2017,15:00:00,REGULAR,6442417,2180549
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/13/2017,11:43:54,REGULAR,6442213,2180491
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/13/2017,11:00:00,REGULAR,6442180,2180480
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/13/2017,07:00:00,REGULAR,6442036,2180141
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/13/2017,03:00:00,REGULAR,6442020,2180106
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/12/2017,23:00:00,REGULAR,6442020,2180106
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/12/2017,19:00:00,REGULAR,6441718,2180075
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/12/2017,15:00:00,REGULAR,6440904,2180000
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/12/2017,11:00:00,REGULAR,6440659,2179931
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/12/2017,07:00:00,REGULAR,6440538,2179590
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/12/2017,03:00:00,REGULAR,6440524,2179555
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/11/2017,23:00:00,REGULAR,6440524,2179555
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/11/2017,19:00:00,REGULAR,6440262,2179540
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/11/2017,15:00:00,REGULAR,6439504,2179476
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/11/2017,11:00:00,REGULAR,6439301,2179403
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/11/2017,07:00:00,REGULAR,6439140,2179099
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/11/2017,03:00:00,REGULAR,6439128,2179050
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/10/2017,23:00:00,REGULAR,6439102,2179048
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/10/2017,19:00:00,REGULAR,6438953,2179013
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/10/2017,15:00:00,REGULAR,6438654,2178964
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/10/2017,11:00:00,REGULAR,6438456,2178920
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/10/2017,07:00:00,REGULAR,6438398,2178858
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/10/2017,03:00:00,REGULAR,6438388,2178849
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/09/2017,23:00:00,REGULAR,6438339,2178825
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/09/2017,19:00:00,REGULAR,6438141,2178804
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/09/2017,15:00:00,REGULAR,6437819,2178743
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/09/2017,11:00:00,REGULAR,6437616,2178685
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/09/2017,07:00:00,REGULAR,6437552,2178605
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/09/2017,03:00:00,REGULAR,6437543,2178597
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/01/2017,23:00:00,REGULAR,6427877,2175160
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/01/2017,19:00:00,REGULAR,6427543,2175125
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/01/2017,15:00:00,REGULAR,6426710,2175020
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/01/2017,11:00:00,REGULAR,6426439,2174938
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/01/2017,07:00:00,REGULAR,6426294,2174612
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/01/2017,03:00:00,REGULAR,6426278,2174576
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/30/2017,23:00:00,REGULAR,6426246,2174563
